"date","longest_idle_time","step_count","active_time","calorie"
2018-03-02,6.56666666666667,6441,1.10117472222222,291.03
2018-03-01,4.35,9541,1.63306888888889,407.29633
2018-02-28,6.1,7655,1.37251833333333,313.72003
2018-02-27,4.16666666666667,12763,2.15494583333333,544.38556
2018-02-26,5.13333333333333,5708,1.01160722222222,246.31001
2018-02-25,6.86666666666667,6086,1.06885944444444,259.33
2018-02-24,6.83333333333333,6950,1.21263,402.16003
2018-02-23,6.2,4892,0.893222222222222,202.71994
2018-02-22,8.1,4398,0.7625125,208.20999
2018-02-21,6.88333333333333,5817,1.03829638888889,244.91997
2018-02-20,6.21666666666667,11612,1.94786027777778,496.3987
2018-02-19,7,4412,0.790813611111111,179.60002
2018-02-18,7.2,8133,1.39132166666667,480.4101
2018-02-17,5.26666666666667,8064,1.45302944444444,346.8
