others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,19260000,5/5/2018,2692.12,46400,3323,2127610,1.53E+12,fGc8wlXwq5,2174010,58,com.sec.android.app.shealth,50:39.3,180000,70d43f0e-a284-415d-b7db-f70941b7ac59,70d43f0e-a284-415d-b7db-f70941b7ac59.extra_data.json,149.50003
0,60,26700000,5/4/2018,5030.769,69478,6559,4004572,1.53E+12,fGc8wlXwq5,4074050,111,com.sec.android.app.shealth,14:49.4,420000,8ff4b84f-9cb3-47a5-882a-e150648e010e,8ff4b84f-9cb3-47a5-882a-e150648e010e.extra_data.json,296.88995
0,60,26520000,5/3/2018,2415.2397,14816,3239,2071986,1.53E+12,fGc8wlXwq5,2086802,56,com.sec.android.app.shealth,55:27.0,120000,c3bf4236-2256-4876-9586-876d7bd72896,c3bf4236-2256-4876-9586-876d7bd72896.extra_data.json,139.43997
0,60,17700000,5/2/2018,3824.9001,14920,5031,3189592,1.53E+12,fGc8wlXwq5,3204512,88,com.sec.android.app.shealth,04:45.1,240000,138b175e-d0fb-4212-af5e-6ded1e96f82a,138b175e-d0fb-4212-af5e-6ded1e96f82a.extra_data.json,210.98994
0,60,20280000,5/1/2018,4064.2695,5659,5381,3474059,1.53E+12,fGc8wlXwq5,3479718,95,com.sec.android.app.shealth,12:54.6,480000,bdfb31b8-b6b6-4aaf-b4fc-fd4659a5c6c9,bdfb31b8-b6b6-4aaf-b4fc-fd4659a5c6c9.extra_data.json,231.22998
0,60,21960000,4/30/2018,6930.4004,67242,9015,5621539,1.53E+12,fGc8wlXwq5,5688781,156,com.sec.android.app.shealth,31:18.3,1219999,651a0bfc-0661-4487-a1b7-c05966a85424,651a0bfc-0661-4487-a1b7-c05966a85424.extra_data.json,396.4797
0,60,22080000,4/29/2018,4317.369,6872,5810,3709746,1.52E+12,fGc8wlXwq5,3716618,101,com.sec.android.app.shealth,57:32.4,360000,f79465a3-3151-4ebe-a9cc-1609224ae6c5,f79465a3-3151-4ebe-a9cc-1609224ae6c5.extra_data.json,255.04002
0,60,22200000,4/28/2018,5646.366,7632,7283,4585842,1.52E+12,fGc8wlXwq5,4593474,126,com.sec.android.app.shealth,00:03.4,680700,29855a60-30c6-4264-92f8-e834cc68642f,29855a60-30c6-4264-92f8-e834cc68642f.extra_data.json,312.59988
0,60,23640000,4/27/2018,4686.16,65851,6177,3856351,1.52E+12,fGc8wlXwq5,3922202,108,com.sec.android.app.shealth,56:15.6,240000,e2c9d08c-0897-433f-bad0-ab1c1df88db2,e2c9d08c-0897-433f-bad0-ab1c1df88db2.extra_data.json,267.12006
0,60,25980000,4/26/2018,3453.4294,12000,4568,2916551,1.52E+12,fGc8wlXwq5,2928551,80,com.sec.android.app.shealth,44:00.8,180000,971e1e5c-7517-4470-a848-c24756de7dfa,971e1e5c-7517-4470-a848-c24756de7dfa.extra_data.json,191.65997
0,60,26520000,4/25/2018,4551.3394,23600,6078,3943641,1.52E+12,fGc8wlXwq5,3967241,108,com.sec.android.app.shealth,34:46.3,240000,4c4b4346-1b34-4a99-90fc-6f9def37ab36,4c4b4346-1b34-4a99-90fc-6f9def37ab36.extra_data.json,250.94997
0,60,23520000,4/24/2018,5073.6313,10000,6719,4356304,1.52E+12,fGc8wlXwq5,4366304,120,com.sec.android.app.shealth,28:15.3,180000,cb23dd9f-78b5-4de9-b4ea-05f5e611077a,cb23dd9f-78b5-4de9-b4ea-05f5e611077a.extra_data.json,278.94006
0,60,26340000,4/23/2018,4446.3594,23200,5813,3776314,1.52E+12,fGc8wlXwq5,3799514,103,com.sec.android.app.shealth,51:51.9,120000,9f989392-8e08-4863-9aa7-77366cf8fe5e,9f989392-8e08-4863-9aa7-77366cf8fe5e.extra_data.json,251.01997
